tracking_id	Ad_1_FPKM	Ad_2_FPKM	P0_2_FPKM	P4_1_FPKM	P4_2_FPKM	P7_1_FPKM	P7_2_FPKM
ENSMUSG00000000001	10.7801	10.4398	25.005	23.6704	26.9539	20.2768	18.5136
ENSMUSG00000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000028	1.08139	1.2436200000000002	4.85574	5.01777	6.55647	2.66045	4.20611
ENSMUSG00000000031	5.69315	9.52046	1028.34	406.19199999999995	428.714	220.678	188.73
ENSMUSG00000000037	0.366144	0.0518355	1.4471100000000001	1.12425	1.65047	0.544229	0.820408
ENSMUSG00000000049	0.174087	0.144793	0.09125520000000001	0.0	0.09544989999999999	0.265034	0.0
ENSMUSG00000000056	41.0843	42.6845	24.6526	30.6221	26.3526	26.7457	22.4162
ENSMUSG00000000058	28.4738	27.0527	25.4985	33.2396	35.8615	42.8333	36.2153
ENSMUSG00000000078	16.5118	15.7386	25.0142	22.0691	22.7428	27.7736	29.0038
ENSMUSG00000000085	15.5981	16.3928	32.9665	22.5606	22.1103	21.9087	17.938
ENSMUSG00000000088	526.009	617.731	343.712	484.195	476.173	476.569	460.461
ENSMUSG00000000093	1.6137700000000001	1.86064	4.79148	3.8681	4.85391	5.3549	4.1780800000000005
ENSMUSG00000000094	0.0	0.017725	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000103	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000120	0.109457	0.175848	0.9983420000000001	1.58413	1.98735	2.4037	2.16053
ENSMUSG00000000125	0.0	0.0	0.0159713	0.0	0.0	0.0	0.0
ENSMUSG00000000126	1.9354099999999999	2.04148	1.78262	2.1465400000000003	1.5205799999999998	1.69193	1.85087
ENSMUSG00000000127	6.012230000000001	6.20925	9.13911	8.23657	9.02525	7.917260000000001	6.91582
ENSMUSG00000000131	8.84411	6.9840800000000005	37.5142	25.8073	23.9686	20.1396	15.697000000000001
ENSMUSG00000000134	4.421209999999999	5.1458	7.03856	6.28534	6.05656	8.81377	5.64899
ENSMUSG00000000142	1.03063	0.8604860000000001	0.698142	0.48114799999999996	0.9912190000000001	0.8731629999999999	0.8621200000000001
ENSMUSG00000000148	2.16357	1.85598	3.5870599999999997	3.69234	3.79445	3.36964	2.6122
ENSMUSG00000000149	54.6696	60.3274	31.1382	34.8319	34.4341	36.2784	30.0256
ENSMUSG00000000154	0.33747699999999997	0.3657	0.533492	0.0531125	0.490171	0.0827709	0.399988
ENSMUSG00000000157	0.0	0.0	0.27269699999999997	0.0	0.015285	0.0	0.124074
ENSMUSG00000000159	0.0	3.3554e-08	3.39391e-08	1.15975e-08	1.51519e-08	1.54117e-07	1.19862e-07
ENSMUSG00000000167	0.17578	0.240218	0.335237	0.41348500000000005	0.598534	0.691299	0.642137
ENSMUSG00000000168	169.253	160.512	106.834	139.988	122.04700000000001	132.265	108.337
ENSMUSG00000000171	288.459	289.41200000000003	300.101	380.34	353.477	321.805	313.801
ENSMUSG00000000182	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000183	0.291024	0.229699	0.0865696	0.0	0.127563	0.06447090000000001	0.11853
ENSMUSG00000000184	16.6274	14.6724	50.5449	47.6047	57.9242	51.3144	51.4304
ENSMUSG00000000194	11.3247	11.491	16.6734	13.7314	14.9082	14.7856	14.2798
ENSMUSG00000000197	0.223248	0.08124680000000001	0.0	0.017967700000000003	0.0327952	0.0	0.0355233
ENSMUSG00000000202	0.028576499999999998	0.0	0.0	0.125203	0.28394400000000003	0.055096900000000004	0.0
ENSMUSG00000000204	0.149757	0.21642600000000004	0.0605221	0.103774	0.0929445	0.0228829	0.0218171
ENSMUSG00000000214	0.0	0.0	0.109203	0.041649900000000004	0.0	0.0	0.0
ENSMUSG00000000215	0.0	0.0	0.0	0.0	0.0	0.262651	0.0
ENSMUSG00000000216	0.0	0.0	0.0	0.0	0.0	0.0	0.0236647
ENSMUSG00000000223	0.034723500000000004	0.0482417	0.17010699999999998	0.193128	0.267717	0.24916999999999997	0.12071199999999999
ENSMUSG00000000244	0.222388	0.409132	0.378998	0.20736	0.228057	0.37806100000000004	0.221965
ENSMUSG00000000247	0.0	0.0305161	0.0	0.251693	0.07837639999999998	0.363016	0.134722
ENSMUSG00000000248	0.0	0.0	0.0	0.033828	0.0	0.39473800000000003	5.6539e-06
ENSMUSG00000000253	50.7051	47.8517	61.8132	73.8716	73.4198	64.169	60.5374
ENSMUSG00000000263	0.0	0.0	0.0185985	0.0	0.0	0.0	0.0
ENSMUSG00000000266	5.21552	5.10232	13.2251	10.0673	11.0709	9.83283	7.546539999999999
ENSMUSG00000000275	7.66512	6.371569999999999	11.9024	12.2023	13.0594	12.0452	10.8779
ENSMUSG00000000276	2.80733	3.23296	6.10485	4.652419999999999	5.05684	5.3363	4.65874
ENSMUSG00000000278	6.54976	8.22049	14.1368	13.3034	13.5922	9.779580000000001	9.79932
ENSMUSG00000000282	2.89019	3.0649599999999997	4.66864	3.6494199999999997	3.41563	3.79095	3.24095
ENSMUSG00000000290	2.14437	2.66103	0.487525	0.49713999999999997	0.4694	0.655647	1.1760899999999999
ENSMUSG00000000295	2.16377	1.81922	10.4897	11.2039	10.9342	5.80881	6.635210000000001
ENSMUSG00000000296	3.6114300000000004	2.96088	4.22012	2.42386	3.44329	2.33197	3.3896800000000002
ENSMUSG00000000301	1.4189	1.0364	2.96237	2.2787	1.9615799999999999	1.237	1.48063
ENSMUSG00000000303	0.0	0.0321611	0.028556	0.0	0.019737099999999997	0.019788299999999998	0.018912900000000003
ENSMUSG00000000305	0.24331399999999997	0.11588399999999999	0.435284	0.60438	0.415608	0.165379	0.117775
ENSMUSG00000000308	0.620603	0.422968	0.47051899999999997	1.15496	0.23128	0.769836	0.359052
ENSMUSG00000000317	7.319660000000001	7.708419999999999	17.923	23.476	24.8477	29.2792	27.2759
ENSMUSG00000000318	1.36364	1.7870099999999998	0.23601799999999998	0.486285	0.0914349	0.463888	0.42263199999999995
ENSMUSG00000000320	0.43738999999999995	0.79782	1.4122700000000001	1.3240399999999999	1.78518	1.8227200000000001	2.02881
ENSMUSG00000000325	3.84982	4.91801	17.0769	11.9446	11.7356	8.66916	8.54842
ENSMUSG00000000326	57.4683	75.2136	51.3801	61.3658	60.3597	59.8255	60.3871
ENSMUSG00000000339	8.58488	10.3068	16.8114	16.7123	18.2768	11.932	13.7674
ENSMUSG00000000340	24.8646	24.767	20.1014	16.2537	17.2361	16.5367	13.2467
